Source,Target,Type,Industry,search_word
teknikker for virksomhetsverdsetting,finansanalyse,Undirected,Bank,Business Analyst
teknikker for virksomhetsverdsetting,corporate finance,Undirected,Bank,Business Analyst
modellering (økonomi),norsk,Undirected,Bank,Business Analyst
modellering (økonomi),mergers & acquisitions (m&a),Undirected,Bank,Business Analyst
modellering (økonomi),finansanalyse,Undirected,Bank,Business Analyst
modellering (økonomi),corporate finance,Undirected,Bank,Business Analyst
norsk,mergers & acquisitions (m&a),Undirected,Bank,Business Analyst
norsk,finansanalyse,Undirected,Bank,Business Analyst
norsk,corporate finance,Undirected,Bank,Business Analyst
mergers & acquisitions (m&a),finansanalyse,Undirected,Bank,Business Analyst
mergers & acquisitions (m&a),corporate finance,Undirected,Bank,Business Analyst
finansanalyse,corporate finance,Undirected,Bank,Business Analyst
controlling,analysere data,Undirected,Bank,Business Analyst
controlling,bokføring,Undirected,Bank,Business Analyst
controlling,microsoft excel,Undirected,Bank,Business Analyst
controlling,prognoser,Undirected,Bank,Business Analyst
controlling,norsk,Undirected,Bank,Business Analyst
controlling,erp-systemer,Undirected,Bank,Business Analyst
controlling,rapportering,Undirected,Bank,Business Analyst
analysere data,bokføring,Undirected,Bank,Business Analyst
analysere data,microsoft excel,Undirected,Bank,Business Analyst
analysere data,norsk,Undirected,Bank,Business Analyst
analysere data,erp-systemer,Undirected,Bank,Business Analyst
analysere data,rapportering,Undirected,Bank,Business Analyst
bokføring,microsoft excel,Undirected,Bank,Business Analyst
bokføring,prognoser,Undirected,Bank,Business Analyst
bokføring,norsk,Undirected,Bank,Business Analyst
bokføring,erp-systemer,Undirected,Bank,Business Analyst
bokføring,rapportering,Undirected,Bank,Business Analyst
microsoft excel,prognoser,Undirected,Bank,Business Analyst
microsoft excel,norsk,Undirected,Bank,Business Analyst
microsoft excel,erp-systemer,Undirected,Bank,Business Analyst
microsoft excel,rapportering,Undirected,Bank,Business Analyst
prognoser,norsk,Undirected,Bank,Business Analyst
prognoser,erp-systemer,Undirected,Bank,Business Analyst
prognoser,rapportering,Undirected,Bank,Business Analyst
norsk,erp-systemer,Undirected,Bank,Business Analyst
norsk,rapportering,Undirected,Bank,Business Analyst
erp-systemer,rapportering,Undirected,Bank,Business Analyst
forretningsstrategiplaner,prosjekteringsledelse,Undirected,Konsulent og rådgivning,Business Analyst
forretningsstrategiplaner,due diligence,Undirected,Konsulent og rådgivning,Business Analyst
forretningsstrategiplaner,håndtere fusjoner og oppkjøp,Undirected,Konsulent og rådgivning,Business Analyst
forretningsstrategiplaner,markedsanalyse,Undirected,Konsulent og rådgivning,Business Analyst
prosjekteringsledelse,due diligence,Undirected,Konsulent og rådgivning,Business Analyst
prosjekteringsledelse,håndtere fusjoner og oppkjøp,Undirected,Konsulent og rådgivning,Business Analyst
prosjekteringsledelse,markedsanalyse,Undirected,Konsulent og rådgivning,Business Analyst
due diligence,håndtere fusjoner og oppkjøp,Undirected,Konsulent og rådgivning,Business Analyst
due diligence,markedsanalyse,Undirected,Konsulent og rådgivning,Business Analyst
håndtere fusjoner og oppkjøp,markedsanalyse,Undirected,Konsulent og rådgivning,Business Analyst
prosjekteringsledelse,planlegge software-testing,Undirected,Bank,Business Analyst
prosjekteringsledelse,behov og kravsanalyse,Undirected,Bank,Business Analyst
planlegge software-testing,behov og kravsanalyse,Undirected,Bank,Business Analyst
business-analyse,konsekvensanalyse,Undirected,Bank,Business Analyst
business-analyse,sql,Undirected,Bank,Business Analyst
business-analyse,amazon web services (aws),Undirected,Bank,Business Analyst
konsekvensanalyse,sql,Undirected,Bank,Business Analyst
konsekvensanalyse,amazon web services (aws),Undirected,Bank,Business Analyst
sql,amazon web services (aws),Undirected,Bank,Business Analyst
gode norsk- og engelskkunnskaper,analysere data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
gode norsk- og engelskkunnskaper,microsoft excel,Undirected,Drift og vedlikeholdstjenester,Business Analyst
gode norsk- og engelskkunnskaper,standardisere prosesser,Undirected,Drift og vedlikeholdstjenester,Business Analyst
gode norsk- og engelskkunnskaper,power bi,Undirected,Drift og vedlikeholdstjenester,Business Analyst
gode norsk- og engelskkunnskaper,behandle data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
gode norsk- og engelskkunnskaper,kvalitetssikring av data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
gode norsk- og engelskkunnskaper,rapportering,Undirected,Drift og vedlikeholdstjenester,Business Analyst
analysere data,microsoft excel,Undirected,Drift og vedlikeholdstjenester,Business Analyst
analysere data,standardisere prosesser,Undirected,Drift og vedlikeholdstjenester,Business Analyst
analysere data,power bi,Undirected,Drift og vedlikeholdstjenester,Business Analyst
analysere data,behandle data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
analysere data,kvalitetssikring av data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
analysere data,rapportering,Undirected,Drift og vedlikeholdstjenester,Business Analyst
microsoft excel,standardisere prosesser,Undirected,Drift og vedlikeholdstjenester,Business Analyst
microsoft excel,power bi,Undirected,Drift og vedlikeholdstjenester,Business Analyst
microsoft excel,behandle data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
microsoft excel,kvalitetssikring av data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
microsoft excel,rapportering,Undirected,Drift og vedlikeholdstjenester,Business Analyst
standardisere prosesser,power bi,Undirected,Drift og vedlikeholdstjenester,Business Analyst
standardisere prosesser,behandle data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
standardisere prosesser,kvalitetssikring av data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
standardisere prosesser,rapportering,Undirected,Drift og vedlikeholdstjenester,Business Analyst
power bi,behandle data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
power bi,kvalitetssikring av data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
power bi,rapportering,Undirected,Drift og vedlikeholdstjenester,Business Analyst
behandle data,kvalitetssikring av data,Undirected,Drift og vedlikeholdstjenester,Business Analyst
behandle data,rapportering,Undirected,Drift og vedlikeholdstjenester,Business Analyst
kvalitetssikring av data,rapportering,Undirected,Drift og vedlikeholdstjenester,Business Analyst
budsjettarbeid,analyser av nøkkeltall,Undirected,Bank,Business Analyst
budsjettarbeid,treasury/risk management (fi-fscm-trm),Undirected,Bank,Business Analyst
budsjettarbeid,finansiell planlegging og analyse,Undirected,Bank,Business Analyst
budsjettarbeid,likviditetsstyring,Undirected,Bank,Business Analyst
budsjettarbeid,mergers & acquisitions (m&a),Undirected,Bank,Business Analyst
budsjettarbeid,finansiell rapportering,Undirected,Bank,Business Analyst
analyser av nøkkeltall,treasury/risk management (fi-fscm-trm),Undirected,Bank,Business Analyst
analyser av nøkkeltall,finansiell planlegging og analyse,Undirected,Bank,Business Analyst
analyser av nøkkeltall,likviditetsstyring,Undirected,Bank,Business Analyst
analyser av nøkkeltall,mergers & acquisitions (m&a),Undirected,Bank,Business Analyst
analyser av nøkkeltall,finansiell rapportering,Undirected,Bank,Business Analyst
treasury/risk management (fi-fscm-trm),finansiell planlegging og analyse,Undirected,Bank,Business Analyst
treasury/risk management (fi-fscm-trm),likviditetsstyring,Undirected,Bank,Business Analyst
treasury/risk management (fi-fscm-trm),mergers & acquisitions (m&a),Undirected,Bank,Business Analyst
treasury/risk management (fi-fscm-trm),finansiell rapportering,Undirected,Bank,Business Analyst
finansiell planlegging og analyse,likviditetsstyring,Undirected,Bank,Business Analyst
finansiell planlegging og analyse,mergers & acquisitions (m&a),Undirected,Bank,Business Analyst
finansiell planlegging og analyse,finansiell rapportering,Undirected,Bank,Business Analyst
likviditetsstyring,mergers & acquisitions (m&a),Undirected,Bank,Business Analyst
likviditetsstyring,finansiell rapportering,Undirected,Bank,Business Analyst
mergers & acquisitions (m&a),finansiell rapportering,Undirected,Bank,Business Analyst
analyse av forretningsdata,data warehouse,Undirected,Butikk og varehandel,Business Analyst
analyse av forretningsdata,sql,Undirected,Butikk og varehandel,Business Analyst
analyse av forretningsdata,analysere data,Undirected,Butikk og varehandel,Business Analyst
analyse av forretningsdata,data modeling,Undirected,Butikk og varehandel,Business Analyst
analyse av forretningsdata,microsoft excel,Undirected,Butikk og varehandel,Business Analyst
analyse av forretningsdata,administrere data,Undirected,Butikk og varehandel,Business Analyst
analyse av forretningsdata,bygge datadashboard,Undirected,Butikk og varehandel,Business Analyst
data warehouse,sql,Undirected,Butikk og varehandel,Business Analyst
data warehouse,analysere data,Undirected,Butikk og varehandel,Business Analyst
data warehouse,data modeling,Undirected,Butikk og varehandel,Business Analyst
data warehouse,microsoft excel,Undirected,Butikk og varehandel,Business Analyst
data warehouse,administrere data,Undirected,Butikk og varehandel,Business Analyst
data warehouse,bygge datadashboard,Undirected,Butikk og varehandel,Business Analyst
sql,analysere data,Undirected,Butikk og varehandel,Business Analyst
sql,data modeling,Undirected,Butikk og varehandel,Business Analyst
sql,microsoft excel,Undirected,Butikk og varehandel,Business Analyst
sql,administrere data,Undirected,Butikk og varehandel,Business Analyst
sql,bygge datadashboard,Undirected,Butikk og varehandel,Business Analyst
analysere data,data modeling,Undirected,Butikk og varehandel,Business Analyst
analysere data,microsoft excel,Undirected,Butikk og varehandel,Business Analyst
analysere data,administrere data,Undirected,Butikk og varehandel,Business Analyst
analysere data,bygge datadashboard,Undirected,Butikk og varehandel,Business Analyst
data modeling,microsoft excel,Undirected,Butikk og varehandel,Business Analyst
data modeling,administrere data,Undirected,Butikk og varehandel,Business Analyst
data modeling,bygge datadashboard,Undirected,Butikk og varehandel,Business Analyst
microsoft excel,administrere data,Undirected,Butikk og varehandel,Business Analyst
microsoft excel,bygge datadashboard,Undirected,Butikk og varehandel,Business Analyst
administrere data,bygge datadashboard,Undirected,Butikk og varehandel,Business Analyst
kunnskap om teknologi,kontinuerlig forbedringsprosess (cip),Undirected,Bank,Business Analyst
kunnskap om teknologi,teknologiledelse,Undirected,Bank,Business Analyst
kunnskap om teknologi,kontinuerlig forbedringsarbeid,Undirected,Bank,Business Analyst
kontinuerlig forbedringsprosess (cip),teknologiledelse,Undirected,Bank,Business Analyst
kontinuerlig forbedringsprosess (cip),kontinuerlig forbedringsarbeid,Undirected,Bank,Business Analyst
teknologiledelse,kontinuerlig forbedringsarbeid,Undirected,Bank,Business Analyst
informatikk,programmeringsspråk,Undirected,Forskning,Data Analyst
informatikk,software engineering,Undirected,Forskning,Data Analyst
programmeringsspråk,software engineering,Undirected,Forskning,Data Analyst
git (versioning file system),python (dataprogrammering),Undirected,Fiskeri og oppdrett,Data Analyst
git (versioning file system),linux,Undirected,Fiskeri og oppdrett,Data Analyst
git (versioning file system),utvikle brukergrensesnitt,Undirected,Fiskeri og oppdrett,Data Analyst
python (dataprogrammering),linux,Undirected,Fiskeri og oppdrett,Data Analyst
